Tarikh,Jumlah,Product,Kategori
01/01/2024,RM 150.00,Nasi Lemak Ayam Goreng,Makanan
02/01/2024,RM 8.50,Teh Tarik,Minuman
02/01/2024,RM 12.00,Kopi Susu,Minuman
03/01/2024,RM 180.00,Nasi Lemak Ayam Goreng,Makanan
03/01/2024,RM 10.00,Sirap Limau,Minuman
04/01/2024,RM 220.00,Roti Canai & Kari,Makanan
05/01/2024,RM 7.00,"Teh O,Ais",Minuman
05/01/2024,RM 95.00,Mee Goreng Mamak,Makanan
06/01/2024,RM 160.00,Nasi Lemak Ayam Goreng,Makanan
06/01/2024,RM 250.00,Satay 50 Cucuk,Makanan
07/01/2024,RM 9.00,Milo Ais,Minuman
08/01/2024,RM 130.00,Nasi Kandar,Makanan
08/01/2024,RM 45.00,Pisang Goreng (2 pinggan),Makanan
09/01/2024,RM 200.00,Satay 40 Cucuk,Makanan
09/01/2024,RM 6.50,Teh Tarik,Minuman
10/01/2024,RM 175.00,Nasi Lemak Ayam Goreng,Makanan
11/01/2024,RM 300.00,Nasi Kandar & Ayam,Makanan
12/01/2024,RM 8.00,Kopi O,Minuman
12/01/2024,RM 55.00,Roti Nan & Dalca,Makanan
13/01/2024,RM 190.00,Mee Rebus,Makanan
14/01/2024,RM 15.00,Cendol,Minuman
14/01/2024,RM 210.00,Nasi Lemak Special,Makanan
15/01/2024,RM 85.00,Popiah Basah,Makanan
15/01/2024,RM 7.50,Teh Tarik,Minuman
16/01/2024,RM 240.00,Ikan Bakar & Nasi,Makanan
17/01/2024,RM 11.00,Air Batu Campur,Minuman
17/01/2024,RM 165.00,Nasi Goreng Kampung,Makanan
18/01/2024,RM 12.00,Kopi Susu,Minuman
18/01/2024,RM 140.00,Laksa Penang,Makanan
19/01/2024,RM 270.00,Ayam Goreng 8 ketul,Makanan
20/01/2024,RM 9.00,Teh O Ais,Minuman
20/01/2024,RM 155.00,Nasi Lemak Ayam Goreng,Makanan
21/01/2024,RM 195.00,Mee Sup,Makanan
22/01/2024,RM 8.50,Milo,Minuman
22/01/2024,RM 225.00,Tomyam & Nasi Putih,Makanan
23/01/2024,RM 185.00,Nasi Beriyani Ayam,Makanan
24/01/2024,RM 10.00,Sirap Bandung,Minuman
24/01/2024,RM 130.00,Kuey Teow Goreng,Makanan
25/01/2024,RM 260.00,Ikan Bakar & Nasi,Makanan
26/01/2024,RM 6.00,Teh O,Minuman
26/01/2024,RM 145.00,Nasi Lemak Biasa,Makanan
27/01/2024,RM 320.00,Satay 60 Cucuk,Makanan
28/01/2024,RM 14.00,Cendol,Minuman
28/01/2024,RM 175.00,Nasi Goreng USA,Makanan
29/01/2024,RM 100.00,Roti John,Makanan
29/01/2024,RM 8.00,Kopi O,Minuman
30/01/2024,RM 230.00,Nasi Kandar Kombo,Makanan
31/01/2024,RM 9.50,Teh Tarik,Minuman
31/01/2024,RM 190.00,Mee Goreng Mamak,Makanan
